month,m_ElecDemand
2004.01,7863847.258
2004.02,7787863.828
2004.03,7579078.065
2004.04,7283591.967
2004.05,6926077.677
2004.06,7084158.833
2004.07,8320856.129
2004.08,8545420.645
2004.09,7315811.8
2004.1,7216688.71
2004.11,7566827.233
2004.12,8108929.742
2005.01,8622948.806
2005.02,8447704.179
2005.03,8341744
2005.04,7725419.7
2005.05,7418659.484
2005.06,7748380.267
2005.07,8585022.032
2005.08,8852914.871
2005.09,8236630.467
2005.1,7695855.516
2005.11,8155173.733
2005.12,9076439.032
2006.01,8974909.226
2006.02,9058128.75
2006.03,8678713.903
2006.04,8239454.9
2006.05,7835787.323
2006.06,7927267
2006.07,8831479.839
2006.08,9921948.548
2006.09,8199476.867
2006.1,8126586.387
2006.11,8578190.3
2006.12,9356755.323
2007.01,9667161.71
2007.02,9309588.25
2007.03,9216139.258
2007.04,8791772.167
2007.05,8366698.452
2007.06,8487857.267
2007.07,9359447.871
2007.08,10539877.16
2007.09,8733740.767
2007.1,8564348.419
2007.11,9265438
2007.12,9803801.548
2008.01,10253643.06
2008.02,10293667.17
2008.03,9606636.71
2008.04,9054457.367
2008.05,8682112.323
2008.06,8569949.2
2008.07,10221689.26
2008.08,10134246.29
2008.09,9202271.467
2008.1,8829790.226
2008.11,9526371.067
2008.12,10455025.61
2009.01,10894189.35
2009.02,10385797.5
2009.03,10204032.23
2009.04,9675110.033
2009.05,9199267.29
2009.06,9400972.267
2009.07,10384386.16
2009.08,10557825
2009.09,9765975.567
2009.1,9223251.323
2009.11,10137016
2009.12,11126668.39
2010.01,11565938.74
2010.02,11070489.04
2010.03,10777744
2010.04,10316199
2010.05,9473576.387
2010.06,9620085.233
2010.07,10922072.55
2010.08,12050890.42
2010.09,10431729.6
2010.1,9617163.129
2010.11,10588339.73
2010.12,11630527.1
2011.01,12724093.55
2011.02,11542739.46
2011.03,11424780.16
2011.04,10519386.53
2011.05,9832506.806
2011.06,10047233.33
2011.07,11700156.68
2011.08,11463208.61
2011.09,10601864.1
2011.1,10039698.65
2011.11,10588363.37
2011.12,12094124.13
2012.01,12571665.71
2012.02,12809430.31
2012.03,11971521.87
2012.04,10876576.83
2012.05,10303292.97
2012.06,10421879.73
2012.07,11904794.68
2012.08,12333921.9
2012.09,10370614.73
2012.1,10314453.19
2012.11,11335609.4
2012.12,12733915.19
2013.01,13404896.19
2013.02,13013346.82
2013.03,12185970.97
2013.04,11724258.67
2013.05,10824287.06
2013.06,10915255.93
2013.07,13125731.58
2013.08,13866320.16
2013.09,11362680.67
2013.1,10926613.06
2013.11,11949579.37
2013.12,13389005.94
2014.01,14046956.81
2014.02,13910547.61
2014.03,13185304.9
2014.04,12325739.97
2014.05,11448082.87
2014.06,11319304.37
2014.07,12408378
2014.08,12449658.32
2014.09,11632912.7
2014.1,11339981.29
2014.11,12267805.8
2014.12,14295509.42
2015.01,14830000.55
2015.02,14684457.04
2015.03,13941400
2015.04,12857788.3
2015.05,11763347.65
2015.06,11673767.3
2015.07,12916222
2015.08,13767265.68
2015.09,12130137.57
2015.1,11905010.74
2015.11,12766070.3
2015.12,14344399.29
2016.01,15871739.13
2016.02,15316680.28
2016.03,14446828.13
2016.04,13064596.2
2016.05,12242559.03
2016.06,12683766.47
2016.07,14947655.81
2016.08,15833341.1
2016.09,13056152.4
2016.1,12314953.23
2016.11,13382713.7
2016.12,14914238.52
2017.01,16044390.94
2017.02,16233993.71
2017.03,15316009.16
2017.04,13691840.3
2017.05,12821586.77
2017.06,13163236.5
2017.07,16629624.52
2017.08,16715095.68
2017.09,13836766.67
2017.1,12891838.9
2017.11,14269924.13
2017.12,16633675.29
2018.01,17812020.52
2018.02,17526425.14
2018.03,15673785.39
2018.04,14295918.2
2018.05,15673785.39
2018.06,14295918.2
