date,service,input(1million$),home,traveler,electric car
201001,152158948,700.3,568685,541172,
201002,145354894,718,569458,554957,
201003,129585516,756.5,570231,602833,
201004,134671097,772,571004,798410,
201005,121698944,1110.4,571777,823451,
201006,120452483,963.9,572550,683652,
201007,133464488,799.4,573322,669007,
201008,158909466,866.5,574095,782083,
201009,147903959,753.9,574868,593675,
201010,120368933,958.6,575641,720469,
201011,127375517,979.7,576414,624435,
201012,137958240,942.8,577187,521263,
201101,161532535,837.9,577695,545891,
201102,155684166,915.3,578203,561823,
201103,135670264,926.4,578711,602399,
201104,136718201,770.1,579219,817265,
201105,123149313,877.7,579727,856206,
201106,124760560,862.5,580235,705088,
201107,143243884,915.7,580743,797144,
201108,159754488,1142.1,581251,899825,
201109,143904177,1304.7,581759,725535,
201110,123993552,1245.4,582267,858242,
201111,127026321,1204.7,582775,723433,
201112,138916859,1245.2,583284,648125,
201201,161086527,1013.9,582072,661268,
201202,159612424,1055.6,580860,647800,
201203,147146388,1188.4,579648,662786,
201204,140349214,1334.2,578437,879787,
201205,126026019,1421.5,579148,933005,
201206,129984562,1160,579859,823592,
201207,141121100,1232.7,580794,883132,
201208,167090190,1193,581340,922466,
201209,144299412,1161.2,582022,751674,
201210,124528604,1265,582693,938860,
201211,132315155,1093.6,583293,775262,
201212,148201915,1057.1,583713,655947,
201301,164386508,1074.8,584816,653589,
201302,159385008,989.3,585429,675781,
201303,141450850,1210.1,586149,718468,
201304,143068610,1263,587153,1008948,
201305,131870502,1195.9,597384,1023080,
201306,132541781,1276.9,598111,950314,
201307,153330653,1269.9,599544,1057328,
201308,184033989,1167,600848,1177453,
201309,159182851,1393.1,601917,967275,
201310,136449223,1353.6,602910,1011548,
201311,138347337,1122.5,603755,845584,
201312,154751717,1208.7,604670,761897,
201401,172575666,1180.7,605524,798756,
201402,167170213,1190.3,605524,792298,
201403,153125677,1422.5,607006,892056,
201404,149577822,1456.9,608313,1132542,
201405,138959361,1432.7,609749,1010858,
201406,141720909,1464.5,612705,1068106,
201407,150483738,1615.9,614296,1155181,
201408,170907680,1544.9,615908,1247474,
201409,155418887,1765.4,615908,1091564,
201410,142847821,1707.8,617350,1222459,
201411,147799764,1684,618796,986234,
201412,164401547,1596.5,620319,876389,
201501,185256301,1270.8,621550,928344,
